warehouse_id,region,country,warehouse_type,timezone,wms_vendor,fleet_vendor,go_live_year
DC-01,NA,Country-2,highly_automated,UTC+1,WMS_B,RoboFlow,2011
DC-02,EU,Country-3,mixed_robotics,UTC+5:30,WMS_C,MoveIQ,2016
DC-03,APAC,Country-4,manual_plus_automation,UTC-5,WMS_Legacy,LegacyAGV,2010
DC-04,LATAM,Country-5,cold_chain,UTC+8,WMS_A,FleetOne,2013
DC-05,MEA,Country-6,acquired_legacy,UTC,WMS_B,RoboFlow,2019
DC-06,NA,Country-7,highly_automated,UTC+1,WMS_C,MoveIQ,2019
DC-07,EU,Country-8,mixed_robotics,UTC+5:30,WMS_Legacy,LegacyAGV,2016
DC-08,APAC,Country-9,manual_plus_automation,UTC-5,WMS_A,FleetOne,2008
DC-09,LATAM,Country-1,cold_chain,UTC+8,WMS_B,RoboFlow,2010
DC-10,MEA,Country-2,acquired_legacy,UTC,WMS_C,MoveIQ,2013
DC-11,NA,Country-3,highly_automated,UTC+1,WMS_Legacy,LegacyAGV,2013
DC-12,EU,Country-4,mixed_robotics,UTC+5:30,WMS_A,FleetOne,2012
DC-13,APAC,Country-5,manual_plus_automation,UTC-5,WMS_B,RoboFlow,2020
DC-14,LATAM,Country-6,cold_chain,UTC+8,WMS_C,MoveIQ,2019
DC-15,MEA,Country-7,acquired_legacy,UTC,WMS_Legacy,LegacyAGV,2024
DC-16,NA,Country-8,highly_automated,UTC+1,WMS_A,FleetOne,2010
DC-17,EU,Country-9,mixed_robotics,UTC+5:30,WMS_B,RoboFlow,2023
DC-18,APAC,Country-1,manual_plus_automation,UTC-5,WMS_C,MoveIQ,2016
